,algorithm,features,knn,rf,xgb
159,rf,339,0.762987012987013,0.762987012987013,0.674512987012987
160,rf,344,0.8262987012987013,0.7426948051948052,0.6858766233766234
161,rf,349,0.8262987012987013,0.7832792207792207,0.674512987012987
162,rf,354,0.8262987012987013,0.760551948051948,0.6655844155844155
163,rf,359,0.8262987012987013,0.7743506493506493,0.6655844155844155
164,rf,364,0.8173701298701299,0.7402597402597402,0.676948051948052
165,rf,369,0.8060064935064934,0.7402597402597402,0.676948051948052
166,rf,374,0.797077922077922,0.7337662337662337,0.6858766233766234
167,rf,379,0.8060064935064934,0.7516233766233766,0.676948051948052
168,rf,384,0.762987012987013,0.7694805194805194,0.6858766233766234
169,rf,389,0.8173701298701299,0.762987012987013,0.6858766233766234
170,rf,394,0.765422077922078,0.7743506493506493,0.6858766233766234
171,rf,399,0.8084415584415584,0.762987012987013,0.6858766233766234
172,rf,404,0.8084415584415584,0.762987012987013,0.6858766233766234
173,rf,409,0.7564935064935066,0.7540584415584416,0.676948051948052
174,rf,414,0.7564935064935066,0.7540584415584416,0.676948051948052
175,rf,419,0.765422077922078,0.7426948051948052,0.676948051948052
176,rf,424,0.765422077922078,0.7564935064935066,0.676948051948052
177,rf,429,0.7564935064935066,0.7224025974025974,0.676948051948052
178,rf,434,0.8035714285714286,0.7426948051948052,0.676948051948052
179,rf,439,0.7564935064935066,0.762987012987013,0.676948051948052
180,rf,444,0.7946428571428572,0.765422077922078,0.676948051948052
181,rf,449,0.7564935064935066,0.762987012987013,0.676948051948052
182,rf,454,0.7564935064935066,0.7362012987012987,0.676948051948052
183,rf,459,0.7564935064935066,0.7743506493506493,0.676948051948052
184,rf,464,0.7564935064935066,0.762987012987013,0.676948051948052
185,rf,469,0.7564935064935066,0.760551948051948,0.676948051948052
186,rf,474,0.765422077922078,0.765422077922078,0.6655844155844155
187,rf,479,0.765422077922078,0.7719155844155845,0.6655844155844155
188,rf,484,0.765422077922078,0.7719155844155845,0.6655844155844155
189,rf,489,0.7564935064935066,0.7426948051948052,0.6655844155844155
190,rf,494,0.765422077922078,0.7516233766233766,0.6655844155844155
191,rf,499,0.765422077922078,0.7743506493506493,0.6655844155844155
192,mi,4,0.5917207792207793,0.6501623376623377,0.5397727272727273
193,mi,7,0.7491883116883117,0.6363636363636364,0.625
194,mi,10,0.7378246753246753,0.6631493506493507,0.6136363636363636
195,mi,13,0.7491883116883117,0.6517857142857143,0.6290584415584416
196,mi,16,0.7426948051948052,0.674512987012987,0.6201298701298701
197,mi,19,0.7337662337662337,0.6655844155844155,0.5982142857142857
198,mi,22,0.7224025974025974,0.6907467532467533,0.5868506493506493
199,mi,25,0.7719155844155845,0.6542207792207793,0.609577922077922
200,mi,28,0.7946428571428572,0.676948051948052,0.6387987012987013
201,mi,31,0.8149350649350648,0.6858766233766234,0.6818181818181819
202,mi,34,0.7702922077922079,0.7086038961038961,0.6818181818181819
203,mi,37,0.7702922077922079,0.6858766233766234,0.6680194805194806
204,mi,40,0.8133116883116883,0.7021103896103896,0.6704545454545454
205,mi,45,0.7702922077922079,0.7443181818181819,0.6590909090909092
206,mi,50,0.7386363636363636,0.7426948051948052,0.674512987012987
207,mi,55,0.8108766233766234,0.6996753246753247,0.6542207792207793
208,mi,60,0.7881493506493507,0.7199675324675325,0.674512987012987
209,mi,65,0.7702922077922079,0.7199675324675325,0.674512987012987
210,mi,70,0.7248376623376623,0.7313311688311688,0.6655844155844155
211,mi,75,0.8084415584415584,0.765422077922078,0.6655844155844155
212,mi,80,0.7767857142857143,0.7224025974025974,0.6655844155844155
213,mi,85,0.7946428571428572,0.7288961038961039,0.6655844155844155
214,mi,90,0.8157467532467533,0.7540584415584416,0.6680194805194806
